element_a,element_b,result,sources
affliction,jungle,forbidden love,clones
affliction,knight,undead knight,clones
affliction,knowledge,inner demons,clones
affliction,leader,pestilence,clones
affliction,life,virus,clones
affliction,love,green eyed monster,clones
affliction,madness,clown toxin,clones
affliction,magic,voodoo doll,clones
affliction,martial arts,kung fu zombie,clones
affliction,medieval,black death,clones
affliction,metal,corrosive rust,clones
affliction,mind control,posession,clones
affliction,miniature,virus,clones
affliction,monkey,monkey planet,clones
affliction,monster,plague monstrosity,clones
affliction,moon,werewolf,clones
affliction,multiples,zombie outbreak,clones
affliction,music,thrilling zombie,clones
affliction,mutation,siphoning belle,clones
affliction,myth,pandora's box,clones
affliction,parasite,zombie fungus,clones
affliction,pirate,greed,clones
affliction,plant,zombie fungus,clones
affliction,pocket pet,cobramon,clones
affliction,poison,radiation sickness,clones
affliction,precious ring lore,wraith dagger,clones
affliction,prehistoric,zombiesaur,clones
affliction,psychic,posession,clones
affliction,radiation,radiation sickness,clones
affliction,rainbow,clown toxin,clones
affliction,relic,voodoo doll,clones
affliction,reptile,plague dragon,clones
affliction,robot,corrosive rust,clones
affliction,rodent,black death,clones
affliction,royal game,stonescale,clones
affliction,royalty,the deranged king,clones
affliction,sci-fi,computer bug,clones
affliction,science,computer bug,clones
affliction,shrine,sakura spirits,clones
affliction,sleep,sleeping princess,clones
affliction,snake,poison,clones
affliction,space,space zombie,clones
affliction,speed,zombie outbreak,clones
affliction,spirit,posession,clones
affliction,strength,zombie tank,clones
affliction,sun,sun burn,clones
affliction,superhero,sarcastic hero,clones
affliction,sweets,cavities,clones
affliction,sword,sarcastic hero,clones
affliction,the chosen one,chudolph the braindeer,clones
affliction,time,paradox,clones
affliction,toy,voodoo doll,clones
affliction,tree,mistletoe,clones
affliction,trident,inner demons,clones
affliction,turkey day,turkey zombie,clones
affliction,undead,zombie outbreak,clones
affliction,underwater,tongue parasite,clones
affliction,vampire,bloodlust,clones
affliction,vehicle,road rage,clones
affliction,villain,clown toxin,clones
affliction,void,plague monstrosity,clones
affliction,war,radiation sickness,clones
affliction,water,hypothermia,clones
affliction,wealth,greed,clones
affliction,weapon,clown toxin,clones
affliction,werewolf,insanity wolf,clones
affliction,wind,radiation sickness,clones
affliction,wings,bird flu,clones
affliction,wintertide,ice zombie king,clones
affliction,wizard,witch doctor,clones
affliction,wizarding school,cursed will,clones
affliction,wolf,werewolf,clones
africa,plant,cocoa,clones
agricultural land,cereals,oat,clones
agricultural land,grass,pumpkin,clones
agricultural land,shrub + tropics,tea plant,clones
agricultural land,trees + tropics,cacao tree,clones
ai,robot,cyborg,clones
air,air,pressure,little-alchemy
air,air + lightning,no2,clones
air,angel,heavens,clones
air,animal,bird,little-alchemy
air,armor,gas mask,clones
air,arthropods,beetles,clones
air,atmosphere,pressure,little-alchemy
air,bacteria,flu,clones
air,beetles,insects,clones
air,bird,plume,clones
air,boat,hovercraft,clones
air,car,airplane,clones
air,city,smog,little-alchemy
air,cloud,sky,clones;little-alchemy
air,cold,chill,little-alchemy
air,container,scuba tank,little-alchemy
air,dinosaur,dragon,clones
air,dinosaur,pterodactyl,clones;little-alchemy
air,dinosaurs,flying dinosaurs,clones
air,diver,aqualung,clones
air,earth,dust,clones;little-alchemy
air,egg,bird,clones;little-alchemy
air,electricity,ozone,clones;little-alchemy
air,electricity,radio wave,clones
air,electricity,radiowave,clones
air,energy,heat,little-alchemy
air,energy,storm,clones
air,energy,wind,little-alchemy
air,fabric,zeppelin,clones
air,fire,energy,clones;little-alchemy
air,fire,lightning,clones
air,fire,meteor,clones
air,fire,smoke,little-alchemy
air,fish,flying fish,clones;little-alchemy
air,flute,sound,clones
air,flying dinosaurs,birds,clones
air,fog,clouds,clones
air,freezer,air conditioner,clones
air,gas,nitrogen,clones
air,ghost,ghost balloon,clones
air,heat,warmth,little-alchemy
air,hydrogen,oxyhydrogen,clones
air,ice,snow,clones
air,idea,gas,little-alchemy
air,imp,storm,clones
air,inferno,sulfur,clones
air,land,dust,little-alchemy
air,lava,stone,clones;little-alchemy
air,lava,stone (doodle god),clones
air,lava,stone (zed's alchemy),clones
air,lave,stone,clones
air,lave,stone (doodle god),clones
air,life,bird,clones;little-alchemy
air,light,balloons,clones
air,lizard,bird,clones
air,lizard,dragon,little-alchemy
air,mammals,bats,clones
air,mechanism,helicopter,clones
air,metal,rust,little-alchemy
air,meteoroid,meteor,little-alchemy
air,motion,wind,little-alchemy
air,mouse,bat,little-alchemy
air,ornithopter,sailplane,clones
air,paper,kite,little-alchemy
air,pebble,sand,little-alchemy
air,planet,atmosphere,little-alchemy
air,poison,poison gas,clones
air,pressure,atmosphere,little-alchemy
air,pressure,sound,clones
air,pressure,wind,little-alchemy
air,rain,mist,little-alchemy
air,rat,dove,clones
air,rat,pigeon,clones
air,rock,sand,little-alchemy
air,salt water,fog,clones
air,salt water,salt,clones
air,salt water,salt (alchemy classic),clones
air,science,gas,little-alchemy
air,sky,atmosphere,little-alchemy
air,small,gust,little-alchemy
air,snakes,kite,clones
air,soil,dust,little-alchemy
air,spell,illusion,clones
air,squirrel,flying squirrel,little-alchemy
air,steam,cloud,clones;little-alchemy
air,steam,mist,little-alchemy
air,steel,rust,little-alchemy
air,stone,sand,clones;little-alchemy
air,sugar,cotton candy,little-alchemy
air,sugar water,fog,clones
air,sugar water,sugar,clones
air,sun,light,clones
air,surveillance,radar,clones
air,thunderstorm,ozone,clones
air,vampire,bat,clones
air,water,cloud,clones
air,water,mist,little-alchemy
air,water,rain,little-alchemy
air,water,steam,clones
air,waterbirds,seagulls,clones
air,wave,sound,little-alchemy
air,wine,vinegar,little-alchemy
air,wood,flute,little-alchemy
air,worm,butterfly,clones
air,www,wi-fi,clones
airplane,alien,ufo,clones;little-alchemy
airplane,animal,bird,little-alchemy
airplane,astronaut,spaceship,little-alchemy
airplane,atmosphere,rocket,little-alchemy
airplane,balloons,balloon,clones
airplane,barn,hangar,little-alchemy
airplane,blade,helicopter,little-alchemy
airplane,bomb,bomber,clones
airplane,building,plane hangar,clones
airplane,container,hangar,little-alchemy
airplane,contrast,helicopter,clones
airplane,dinosaur,pterodactyl,little-alchemy
airplane,earth,black box,clones
airplane,egg,bird,little-alchemy
airplane,fabric,parachute,little-alchemy
airplane,gun,fighter,clones
airplane,house,airport,clones
airplane,house,hangar,little-alchemy
airplane,human,pilot,little-alchemy
airplane,jet engine,jet airplane,clones
airplane,lake,seaplane,little-alchemy
airplane,lizard,dragon,little-alchemy
airplane,man,tourist,clones
airplane,metal,aluminium,clones
airplane,moon,shuttle,clones
airplane,ocean,seaplane,little-alchemy
airplane,paper,paper airplane,little-alchemy
airplane,radio,radar,clones
airplane,radiowave,radar,clones
airplane,robot,drone,little-alchemy
airplane,sea,seaplane,little-alchemy
airplane,skis,hydroplane,clones
airplane,snake,censored,clones
airplane,space,rocket,little-alchemy
airplane,space,spaceship,little-alchemy
airplane,squirrel,flying squirrel,little-alchemy
airplane,sun,sputnik,clones
airplane,umbrella,parachute,little-alchemy
airplane,void,rocket,clones
airplane,wall,hangar,little-alchemy
airplane,water,seaplane,little-alchemy
airplane,wind turbine,helicopter,little-alchemy
airplane,windmill,helicopter,little-alchemy
aladdin,princess,jasmin,clones
alarm clock,beach,sandglass,clones
alarm clock,bird,cuckoo,little-alchemy
alarm clock,egg,egg timer,little-alchemy
alarm clock,hummingbird,cuckoo,little-alchemy
alarm clock,owl,cuckoo,little-alchemy
alarm clock,sun,morning,clones
albatross,heron,stork,clones
alchemist,alchemist,idea,little-alchemy
alchemist,metal,gold,little-alchemy
alchemist,small,little alchemy,little-alchemy
alchemist,steel,gold,little-alchemy
alcohol,alcohol,beer,infinite-craft
alcohol,amphibians,drunken animal,clones
alcohol,bacteria,alcohol,clones
alcohol,bacteria,mutating bacteria,clones
alcohol,birds,drunken animal,clones
alcohol,bread,beer,clones
alcohol,building,bar,clones
alcohol,cactus,tequila,clones
alcohol,chickens,drunken animal,clones
alcohol,container,bottle,little-alchemy
alcohol,contrast,sport,clones
alcohol,dinosaurs,drunken animal,clones
alcohol,domestic animals,drunken animal,clones
alcohol,energy,sugar,little-alchemy
alcohol,fire,energy,clones
alcohol,fire,fire,clones;little-alchemy
alcohol,fire,fire (alchemy classic),clones
alcohol,fire,molotov cocktail,clones
alcohol,fire,sugar,little-alchemy
alcohol,fire,water,clones
alcohol,fish,drunken animal,clones
alcohol,flower,perfume,clones;little-alchemy
alcohol,flying dinosaurs,drunken animal,clones
alcohol,flying fish,drunken animal,clones
alcohol,fruit,wine,clones;infinite-craft;little-alchemy
alcohol,glass,bottle,clones
alcohol,grape,wine,clones
alcohol,grass,absinthe,clones
alcohol,grass,resinthe,clones
alcohol,human,alcoholic,clones
alcohol,human,drunk,little-alchemy
alcohol,juice,wine,little-alchemy
alcohol,mammals,drunken animal,clones
alcohol,man,alcoholic,clones
alcohol,music,rock-n-roll,clones
alcohol,oxygen,vinegar,clones
alcohol,oxygen,water,clones
alcohol,peat,scotch whisky,clones
alcohol,pineapple,pina colada,clones;infinite-craft
alcohol,pirate,rum,clones
alcohol,plant,beer,clones
alcohol,plant,wine,infinite-craft
alcohol,plesiosaurs,drunken animal,clones
alcohol,potato,vodka,infinite-craft
alcohol,reptiles,drunken animal,clones
alcohol,rodent,drunken animal,clones
alcohol,rose,perfume,little-alchemy
alcohol,smoke,scotch whisky,clones
alcohol,star,ufo,clones
alcohol,sunflower,perfume,little-alchemy
alcohol,water,vodka,clones
alcohol,wheat,beer,clones;little-alchemy
alcohol,wheat,whiskey,clones
alcohol,worm,tequila,clones
alcohol/vodka,order,abstention,clones
alcoholic,car,alcoholic,clones
alcoholic,car,blood,clones
alcoholic,car,corpse,clones
alcoholic,car,metal,clones
alcoholic,car,metal (zed's alchemy),clones
alcoholic,cigarettes,cancer,clones
alcoholic,house,tavern,clones
alcoholic,hut,tavern,clones
alcoholic,money,hangover,clones
alcoholic,philosophers stone,human,clones
alcoholic,philosophers stone,human (doodle god),clones
alcoholic,ship,pirate,clones
alcoholic,tobacco,cancer,clones
algae,boulder,moss,little-alchemy
algae,carbon dioxide,oxygen,little-alchemy
algae,earth,moss,clones
algae,earth,mushroom,clones
algae,earth,plant,little-alchemy
algae,fire,iodine,clones
algae,fish,sushi,clones
algae,lake,swamp,little-alchemy
algae,land,plant,little-alchemy
algae,mushroom,lichen,clones
algae,plankton,fish,clones
algae,plankton,fish (alchemy classic),clones
algae,pond,swamp,little-alchemy
algae,rock,moss,little-alchemy
algae,stone,moss,little-alchemy
algae,sun,oxygen,little-alchemy
algae,swamp,fungi,clones
algae,swamp,moss,clones
alien,astronaut,alien,clones
alien,celebrity,e.t,infinite-craft
alien,container,ufo,little-alchemy
alien,cuzn battery + metals,alien,clones
alien,cuzn battery + metals,robot,clones
alien,doctor,dr. zoidberg,clones
alien,flying saucer,ufo,infinite-craft
alien,freezer,frozen alien,clones
alien,robot,active robot,clones
alien,rocket,ufo,clones;little-alchemy
alien,sky,ufo,little-alchemy
alien,space station,ufo,little-alchemy
alien,spaceship,ufo,little-alchemy
alien,statue,easter island,infinite-craft
alien,viruses,extremely infectious alien,clones
alien,weapon,death ray gun,clones
all-terrain vehicle,wood,wood transporter,clones
alphabet,computer,keyboard,clones
alphabet,egypt,hieroglyph,clones
alphabet,paint,stamp,clones
alphabet,sound,morse code,clones
aluminium,glass,mirror,clones
aluminium,liquid oxygen,dewar flask,clones
aluminium,oxygen,ruby,clones
aluminium,philosopher's stone,gold,clones
amalgam,glass,mirror,clones
amazon,forest,jungle,infinite-craft
amazon,internet,kindle,infinite-craft
amber,fossil,dinosaur,infinite-craft
amber,stonehenge,druid,infinite-craft
ambulance,barn,garage,little-alchemy
ambulance,blade,scalpel,little-alchemy
ambulance,container,garage,little-alchemy
ambulance,house,garage,little-alchemy
ambulance,house,hospital,little-alchemy
ambulance,sword,scalpel,little-alchemy
ambulance,wall,garage,little-alchemy
ambulance,wall,hospital,little-alchemy
america,drunk,trump,infinite-craft
america,goku,superman,infinite-craft
america,japan,anime,infinite-craft
american princess,heartbreak,taylor swift,infinite-craft
amino acids,swamp,bacteria,clones
ammonites,earth,limestone,clones
amphibians,earth,salamanders,clones
amphibians,glass,terrarium (amphibians),clones
amphibians,mutating bacteria,alien,clones
amphibians,sand,reptiles,clones
amphibians,swamp,frogs,clones
amphibians,viruses,infected animal,clones
anchor,yacht,monaco,clones
anchovy,anchovy,herring,clones
anchovy,mosquito,leech,clones
anchovy,shrimp,flounder,clones
anchovy,snail,mussel,clones
anchovy,snail,shrimp,clones
ancient footwear,bones,ancient skates,clones
ancient footwear,mammals,cloven-hoofed animals,clones
ancient footwear,palms,palm leaves sandals,clones
ancient footwear,snow,skis,clones
android,computer,cyborg,infinite-craft
angel,angel,seraphim,clones
angel,anger,angel of wrath,clones
angel,apocalypse,angel of wrath,clones
angel,arachnid,arachnid dudette,clones
angel,arcade,angel kid,clones
angel,bacteria,beetle,clones
angel,bear,spirit bear,clones
angel,beast,domestic animal,clones
angel,beast,domestic animal (doodle god),clones
angel,beast,wool,clones
angel,beauty,seraphim,clones
angel,bird,doves,clones
angel,blob,puff hero,clones
angel,blood,blood angel,clones
angel,bow,love bow!!,clones
angel,camouflage,crying angel,clones
angel,card,trading card,clones
angel,cartoon,angel kid,clones
angel,cat,griffin,clones
angel,celebration,angel food cake,clones
angel,clay or golem,human,clones
angel,clay or golem,human (doodle god),clones
angel,cloud,paradise,clones
angel,cursed,blood angel,clones
angel,darkness,mothman,clones
angel,death,dark angel,clones
angel,demon,dark angel,clones
angel,destruction,soul harvester,clones
angel,dinosaur,beast,clones
angel,dinosaur,beast (doodle god),clones
angel,dog,heavenly dog,clones
angel,domestic animal,milk and wool,clones
angel,dragon,devil,clones
angel,dragon,dinosaur,clones
angel,earth,clay,clones
angel,earth,clay (doodle god),clones
angel,earth,elf,clones
angel,egg,bird,clones
angel,energy,crying angel,clones
angel,energy,electricity,clones
angel,extraterrestrial,crying angel,clones
angel,fairy,fairy godmother,clones
angel,fairy tale,fairy godmother,clones
angel,fire,demon,clones
angel,fire,sun,clones
angel,fish,holy mackerel,clones
angel,food,angel food cake,clones
angel,galaxy wars,space ghosts,clones
angel,god,jesus,infinite-craft
angel,grass,flower and tree,clones
angel,halloween,scarecrow,clones
angel,hammer,paladin,clones
angel,healing,divine healer,clones
angel,holidays,snow angel,clones
angel,hopefulness,train doggo,clones
angel,horn,gabriel's horn,clones
angel,horse,pegasus,clones
angel,human,guardian angel,clones
angel,human,prayer,clones
angel,hybrid,nephilim,clones
angel,ice,snow angel,clones
angel,insect,praying mantis,clones
angel,invention,angel food cake,clones
angel,jungle,dryad,clones
angel,knight,arch angel,clones
angel,knowledge,angel of wisdom,clones
angel,lava,stone,clones
angel,lava,stone (doodle god),clones
angel,leader,angel of valor,clones
angel,life,guardian angel,clones
angel,light,halo,clones
angel,love,cupid,clones
angel,martial arts,angel kid,clones
angel,medieval,seraphim,clones
angel,metal,tools,clones
angel,metal,tools (doodle god),clones
angel,mind control,angelic mutant,clones
angel,miniature,conscience,clones
angel,monkey,flying monkey,clones
angel,monster,crying angel,clones
angel,moon,moon goddess,clones
angel,multiples,seraphim,clones
angel,music,angel trumpeter,clones
angel,music,harp,infinite-craft;little-alchemy
angel,musician,harp,little-alchemy
angel,mutation,angelic mutant,clones
angel,myth,cupid,clones
angel,parasite,crying angel,clones
angel,pirate,feisty figurehead,clones
angel,pocket pet,luckymon,clones
angel,precious ring lore,arch mage,clones
angel,prehistoric,ancient ark,clones
angel,psychic,angel of wrath,clones
angel,radiation,energy,clones
angel,relic,ancient ark,clones
angel,reptile,devil,clones
angel,rodent,fairy godmouse,clones
angel,sand,beach,clones
angel,sci-fi,crying angel,clones
angel,shrine,majestic miko,clones
angel,sidekick,guardian angel,clones
angel,snake,devil,clones
angel,space,heavens,clones
angel,speed,crying angel,clones
angel,spirit,heavens,clones
angel,stone,egg,clones
angel,stone,egg (doodle god),clones
angel,strength,valkyrie,clones
angel,sulfur,sand,clones
angel,sun,light,clones
angel,superhero,arch angel,clones
angel,swamp,grass,clones
angel,sweets,angel food cake,clones
angel,sword,arch angel,clones
angel,time,dark angel,clones
angel,toy,doll,clones
angel,tree,forest,clones
angel,tree,stick,clones
angel,trident,poseidon,clones
angel,turkey day,turkey,clones
angel,turtle,flying trooper,clones
angel,underground,devil,clones
angel,underwater,angelfish,clones
angel,villain,devil,clones
angel,void,dark angel,clones
angel,war,valkyrie,clones
angel,water,sea,clones
angel,water,snow angel,clones
angel,wealth,angel of valor,clones
angel,weapon,valkyrie,clones
angel,wings,seraphim,clones
angel,wintertide,festive coral,clones
angel,wire,harp,little-alchemy
angel,wool,clothing,clones
angel,wool,clothing (doodle god),clones
angel,wool,rope,clones
angel,wool,rope (doodle god),clones
anger,apocalypse,family reunion,clones
anger,arachnid,scorpion lord,clones
anger,arcade,raging gamer,clones
anger,ash,war god,clones
anger,bat,furies,clones
anger,bear,mama bear,clones
anger,beauty,angry bride,clones
anger,bird,raging bird,clones
anger,blob,negative slime,clones
anger,blood,bloodlust,clones
anger,bone,gashadokuro,clones
anger,camouflage,shifting mutant,clones
anger,card,queen of hearts,clones
anger,cartoon,disgruntled beavers,clones
anger,cat,cat and mouse,clones
anger,celebration,raging gamer,clones
anger,chinchilla,disgruntled beavers,clones
anger,cursed,the cursed chosen,clones
anger,darkness,puzzle cube head,clones
anger,death,furies,clones
anger,demon,demonic elf,clones
anger,desert,sekhmet,clones
anger,destruction,raging bird,clones
anger,dog,werewolf,clones
anger,dragon,malevolent,clones
anger,earth,earthquake,clones
anger,elf,demonic elf,clones
anger,energy,insidious emperor,clones
anger,extraterrestrial,cyborg alien mutant,clones
anger,fairy,malevolent,clones
anger,fairy tale,queen of hearts,clones
anger,fire,fire lord,clones
anger,fish,naga queen,clones
anger,food,hangry,clones
anger,galaxy wars,insidious emperor,clones
anger,giant,gashadokuro,clones
anger,golem,grouchy monster,clones
anger,hammer,wmd,clones
anger,healing,dark sage master,clones
anger,holidays,pinch,clones
anger,holy water,armageddon,clones
anger,hopefulness,masked liberator,clones
anger,horn,malevolent,clones
anger,horse,apocalypse rider,clones
anger,human,angry mob,clones
anger,hybrid,cyborg alien mutant,clones
anger,ice,cold hearted,clones
anger,immortality,sekhmet,clones
anger,insect,wasp,clones
anger,invention,alphatron,clones
anger,jungle,mama bear,clones
anger,knight,berserker,clones
anger,knowledge,insidious emperor,clones
anger,leader,insidious emperor,clones
anger,life,cold hearted,clones
anger,love,green eyed monster,clones
anger,madness,queen of hearts,clones
anger,magic,malevolent,clones
anger,martial arts,demonic fighter,clones
anger,medieval,angry mob,clones
anger,metal,alphatron,clones
anger,mind control,dark space lord,clones
anger,miniature,protozoan villain,clones
anger,monkey,monkey planet,clones
anger,monster,grouchy monster,clones
anger,moon,blood moon,clones
anger,multiples,furies,clones
anger,music,death metal,clones
anger,mutation,cyborg alien mutant,clones
anger,myth,furies,clones
anger,parasite,negative slime,clones
anger,pirate,barrage,clones
anger,plant,killer vegetables,clones
anger,pocket pet,psychic clone,clones
anger,poison,wasp,clones
anger,precious ring lore,fiery shadow demon,clones
anger,prehistoric,primeval turtle,clones
anger,psychic,dark space lord,clones
anger,radiation,mutant man,clones
anger,relic,angel of wrath,clones
anger,reptile,turtle king,clones
anger,robot,alphatron,clones
anger,rodent,disgruntled beavers,clones
anger,royal game,lady revenant,clones
anger,royalty,queen of hearts,clones
anger,sci-fi,dark space lord,clones
anger,science,alphatron,clones
anger,sidekick,dark space lord,clones
anger,snake,furies,clones
anger,space,dark space lord,clones
anger,speed,road rage,clones
anger,spirit,negative slime,clones
anger,strength,berserker,clones
anger,sun,talos,clones
anger,superhero,mutant man,clones
anger,sweets,sugar demon,clones
anger,sword,angry bride,clones
anger,the chosen one,swarm queen,clones
anger,toy,raging gamer,clones
anger,tree,disgruntled beavers,clones
anger,trident,angry mob,clones
anger,turkey day,hangry,clones
anger,turtle,turtle king,clones
anger,undead,vengeful spirit,clones
anger,underground,furies,clones
anger,underwater,davy jones,clones
anger,vampire,dracula,clones
anger,vehicle,road rage,clones
anger,villain,dark space lord,clones
anger,void,demonic elf,clones
anger,war,war god,clones
anger,water,maelstrom,clones
anger,water serpent,naga queen,clones
anger,weapon,demonic elf,clones
anger,werewolf,bloodlust,clones
anger,wind,cyclone,clones
anger,wings,angel of wrath,clones
anger,wintertide,holiday blockbuster,clones
anger,wizard,insidious emperor,clones
anger,wizarding school,austrian spiketrail,clones
anger,wolf,werewolf,clones
angler,angler,idea,little-alchemy
angler,rope,net,little-alchemy
animal,antarctica,penguin,little-alchemy
animal,arctic,polar bear,little-alchemy
animal,armor,armadillo,little-alchemy
animal,axe,meat,little-alchemy
animal,banana,man,clones
animal,banana,man (alchemy 1000),clones
animal,barn,livestock,little-alchemy
animal,beach,turtle,little-alchemy
animal,bird,dragon,clones
animal,blot,pig,clones
animal,blot,pig (alchemy 1000),clones
animal,brush,squirrel,clones
animal,butcher,meat,little-alchemy
animal,cage,zoo,little-alchemy
animal,carrot,rabbit,little-alchemy
animal,cart,horse,clones
animal,cat,lion,little-alchemy
animal,cheese,mouse,little-alchemy
animal,chicken,fox,little-alchemy
animal,chicken coop,fox,little-alchemy
animal,christmas stocking,reindeer,little-alchemy
animal,christmas tree,reindeer,little-alchemy
animal,cloud,giraffe,clones
animal,coconut milk,cat,little-alchemy
animal,computer,computer mouse,little-alchemy
animal,container,zoo,little-alchemy
animal,dam,beaver,little-alchemy
animal,desert,camel,little-alchemy
animal,desert,jerboa,clones
animal,dog,wolf,little-alchemy
animal,domestication,livestock,little-alchemy
animal,double rainbow!,butterfly,little-alchemy
animal,dune,camel,little-alchemy
animal,dune,scorpion,little-alchemy
animal,eye,cyclops,clones
animal,farmer,domestication,little-alchemy
animal,farmer,livestock,little-alchemy
animal,fence,dog,clones
animal,fence,dog (alchemy 1000),clones
animal,field,horse,little-alchemy
animal,field,livestock,little-alchemy
animal,fire,cooked,infinite-craft
animal,fire + human or fire,sacrifice,clones
animal,fish,dolphin,clones
animal,flower,bee,little-alchemy
animal,flower,butterfly,little-alchemy
animal,forest,wolf,infinite-craft
animal,garden,bee,little-alchemy
animal,garden,butterfly,little-alchemy
animal,grass,ant,little-alchemy
animal,heat,lizard,little-alchemy
animal,honey,bear,clones
animal,horseshoe,horse,little-alchemy
animal,human,domestication,little-alchemy
animal,ice,deer,clones
animal,ice,polar bear,little-alchemy
animal,jump,kangaroo,clones
animal,king,lion,clones
animal,knife,skin,clones
animal,lake,fish,little-alchemy
animal,land,horse,little-alchemy
animal,man,cow,clones
animal,maze,minotaur,clones
animal,medicine,snake,clones
animal,milk,cat,little-alchemy
animal,moon,wolf,little-alchemy
animal,morning,sloth,clones
animal,mountain,goat,clones
animal,mountain,goat (alchemy 1000),clones
animal,mud,pig,little-alchemy
animal,needle,hedgehog,clones;little-alchemy
animal,net,spider,little-alchemy
animal,night,cat,little-alchemy
animal,nuts,squirrel,little-alchemy
animal,ocean,fish,little-alchemy
animal,oxygen,carbon dioxide,little-alchemy
animal,paint,zebra,clones
animal,panzer,behemoth,clones
animal,paper,origami,little-alchemy
animal,pig,wild boar,little-alchemy
animal,pirate ship,rat,little-alchemy
animal,pond,frog,little-alchemy
animal,pressure,elephant,clones
animal,puddle,frog,little-alchemy
animal,rainbow,butterfly,little-alchemy
animal,river,beaver,clones;little-alchemy
animal,rock,lizard,little-alchemy
animal,rope,snake,little-alchemy
animal,saddle,horse,little-alchemy
animal,sailboat,rat,little-alchemy
animal,sand,scorpion,little-alchemy
animal,santa,reindeer,little-alchemy
animal,science,domestication,little-alchemy
animal,sea,fish,little-alchemy
animal,sea,whale,clones
animal,sky,bird,little-alchemy
animal,snow,hare,clones
animal,stone,lizard,little-alchemy
animal,stream,beaver,little-alchemy
animal,swamp,lizard,little-alchemy
animal,sword,meat,little-alchemy
animal,tent,circus,little-alchemy
animal,thorn,porcupine,clones
animal,thread,spider,little-alchemy
animal,time,human,little-alchemy
animal,time,scarecrow,clones
animal,time,sloth,little-alchemy
animal,tool,human,little-alchemy
animal,tool,meat,little-alchemy
animal,tree,monkey,little-alchemy
animal,tree,panda,clones
animal,water,fish,little-alchemy
animal,wave,sound,little-alchemy
animal,web,spider,little-alchemy
animal,wire,snake,little-alchemy
animal,wood,beaver,little-alchemy
animal fossil,glass,exhibit,clones
animal fossil,tools,bones,clones
animal fossil,tools,bones (alchemy classic),clones
animal fossil,tools,canines,clones
animal fossil,wine,horn,clones
anime,family,simpson,infinite-craft
anime,fight,dragon ball z,infinite-craft
anime,ninja,naruto,infinite-craft
anime,pokemon,pikachu,infinite-craft
ant,ant,egg,little-alchemy
ant,chick,mosquito,clones
ant,cockroach,spider,clones
ant,container,anthill,little-alchemy
ant,earth,anthill,little-alchemy
ant,farm,ant farm,little-alchemy
ant,glass,ant farm,little-alchemy
